dataset,sel,method,n_pairs,delta_pct_mean,delta_pct_ci_low,delta_pct_ci_high,delta_pct_se,ci_excludes_zero,cohens_d,d_magnitude,direction
SIFT,0.01,kdtree,477,11.809165081108295,3.849764912280701,16.174898245614045,3.3755014924007227,True,-0.03669169558588304,negligible,improve
SIFT,0.01,pq,390,11.362318436936084,1.1374736842105297,27.091336842105257,6.1974132388732155,True,0.26206966945968574,small,hurt
SIFT,0.01,lsh,468,12.498066307470761,-2.1876212508890283,18.805036558592334,4.399391105847764,False,0.1737538842573215,negligible,hurt
SIFT,0.01,kde_pilot,487,0.7100232345949145,-15.136726204301294,4.048590155884898,3.434247263310704,False,0.03331097029406756,negligible,hurt
SIFT,0.01,distance_shell,465,8.223183112713057,0.0,19.349999999999987,6.1146484401761105,False,0.03801296450968537,negligible,hurt
SIFT,0.01,is_p50_noclip,110,91.85796178157058,49.99658978400539,146.89879104272646,26.188626044426062,True,0.4502349848076196,small,hurt
SIFT,0.01,is_p50_clip,110,-4.567089988030073,-19.29348818305753,5.394261080937355,7.278744116136882,False,-0.16919832031575327,negligible,improve
SIFT,0.01,is_p200_noclip,61,245.9401942621578,169.38184510480176,340.97041465140677,48.58048863930142,True,0.36799433820287414,small,hurt
SIFT,0.01,is_p200_clip,61,27.88297616984425,1.8427922790114821,56.35798313553265,15.917067233852393,True,0.3007860545064447,small,hurt
SIFT,0.01,spectral,443,10.092469830174501,-7.629751656314867,16.64627333333334,4.4431537594684185,False,0.12783841609380867,negligible,hurt
SIFT,0.01,birch,471,10.270958838606116,-6.738776779931575,14.55647668231497,3.6680466587736453,False,0.0785332669491152,negligible,hurt
SIFT,0.01,gmm,481,9.591105452298933,-7.257230114921194,12.875785964912275,3.6809500121625236,False,-0.026578379343568964,negligible,improve
SIFT,0.01,hdbscan,475,6.324400874207892,1.4026914035087734,9.680150877192984,2.947288851347774,True,-0.012203905429320818,negligible,improve
SIFT,0.01,sobol,433,33.62117584457572,17.088802612929058,48.90484203669526,7.859390852779939,True,0.07054787481259694,negligible,hurt
SIFT,0.01,sparse_rp,470,0.5380071147212341,-15.461857602339188,2.675042105263149,3.8947677767323405,False,-0.03465357385547099,negligible,improve
SIFT,0.05,minibatch,500,-1.70122348281088,-4.8347426392067065,1.1141214205708698,2.224198248064863,False,-0.050413048970234534,negligible,improve
SIFT,0.05,minibatch_partial,500,-0.3497447308653807,-3.8933109432746598,3.4360771929824727,2.331892350401327,False,-0.0041117227324113876,negligible,improve
SIFT,0.05,random_proj,500,3.753196795248884,-0.7059274599542117,8.468380257058943,2.702764280690642,False,0.24671930743234716,small,hurt
SIFT,0.05,pca1d,500,0.19371296311694833,-3.1448363844393636,4.121876618864718,2.3371688017072727,False,-0.042207460848789506,negligible,improve
SIFT,0.05,hilbert,500,-1.5662581140120961,-4.652965474264446,1.7695286307951226,2.2491583496925753,False,-0.10869247096451454,negligible,improve
SIFT,0.05,zorder,500,-2.097047178561325,-5.258333864640746,1.0557576130393014,2.21345348816976,False,-0.1376139779509291,negligible,improve
SIFT,0.05,hybrid,500,-1.8565414397554068,-5.246374008390542,1.5030087719298284,2.3283453081605083,False,-0.11918881471031613,negligible,improve
SIFT,0.05,kdtree,500,-1.2057805046440797,-4.267522520976341,2.6059500768968578,2.3182096007959485,False,-0.0566190304544669,negligible,improve
SIFT,0.05,pq,500,9.84587838373024,6.049283347635398,14.20889156098893,2.6125254968469713,True,0.31901872128466496,small,hurt
SIFT,0.05,lsh,500,4.8687706639257415,0.5082780000953367,9.421533130815495,2.743497216192343,True,0.19678800622389328,negligible,hurt
SIFT,0.05,kde_pilot,500,-2.3847832615287445,-5.730697493284092,1.1023049924664434,2.2321959976047845,False,-0.07340194691494921,negligible,improve
SIFT,0.05,distance_shell,500,9.518023387256395,4.912910272804771,14.75961538461539,2.7949683139257,True,0.3762663494068113,small,hurt
SIFT,0.05,is_p50_noclip,425,31.179275127744198,22.39669134334038,39.031458612698245,4.475085803992278,True,0.5837640562020521,medium,hurt
SIFT,0.05,is_p50_clip,425,40.093006328481515,29.162421986693708,52.91227786435296,6.440690528903361,True,0.6716028309248785,medium,hurt
SIFT,0.05,is_p200_noclip,362,27.22693754488361,19.920041551055316,37.33304813007293,4.478950904765264,True,0.3045643844788108,small,hurt
SIFT,0.05,is_p200_clip,362,38.779494672947095,30.960444469814956,47.67452609383485,4.403640337343577,True,0.7600675973055686,medium,hurt
SIFT,0.05,spectral,499,4.176509706683963,0.2000471395880989,8.12721622807017,2.498664544963172,True,0.20027300187590477,small,hurt
