dataset,selectivity,query_id,mode,q_error,bern_q,method_minus_bern,rank
DEEP,0.01,6,gmm,1.3719227779018273,1.7529148629148628,-0.3809920850130355,8.0
DEEP,0.01,6,hdbscan,1.4750808295800626,1.7529148629148628,-0.27783403333480017,11.0
DEEP,0.01,6,hilbert,1.5667428261603462,1.7529148629148628,-0.18617203675451655,15.0
DEEP,0.01,6,hybrid,1.5958928387677178,1.7529148629148628,-0.15702202414714495,16.0
DEEP,0.01,6,is_p200_clip,1.5347001823219093,1.7529148629148628,-0.21821468059295346,14.0
DEEP,0.01,6,is_p200_noclip,6.9430423427272485,1.7529148629148628,5.190127479812386,24.0
DEEP,0.01,6,is_p50_clip,1.209936104959517,1.7529148629148628,-0.5429787579553458,2.0
DEEP,0.01,6,is_p50_noclip,4.698465831244169,1.7529148629148628,2.9455509683293064,23.0
DEEP,0.01,6,kde_pilot,1.7125559823774776,1.7529148629148628,-0.04035888053738512,17.0
DEEP,0.01,6,kdtree,1.144909441939443,1.7529148629148628,-0.6080054209754198,1.0
DEEP,0.01,6,km20,1.4576885224511358,1.7529148629148628,-0.295226340463727,9.0
DEEP,0.01,6,lsh,2.0747919251849267,1.7529148629148628,0.32187706227006396,21.0
DEEP,0.01,6,minibatch,1.7379126114281669,1.7529148629148628,-0.015002251486695872,18.0
DEEP,0.01,6,minibatch_partial,1.8644088874106277,1.7529148629148628,0.11149402449576495,19.0
DEEP,0.01,6,pca1d,1.4773559231019653,1.7529148629148628,-0.2755589398128975,12.0
DEEP,0.01,6,pq,2.5617134188851223,1.7529148629148628,0.8087985559702595,22.0
DEEP,0.01,6,random20,1.4621599627060422,1.7529148629148628,-0.29075490020882055,10.0
DEEP,0.01,6,random_proj,1.2642853213156182,1.7529148629148628,-0.48862954159924454,4.0
DEEP,0.01,6,sobol,1.3495665182098961,1.7529148629148628,-0.4033483447049666,7.0
DEEP,0.01,6,sparse_rp,1.3167611336032388,1.7529148629148628,-0.436153729311624,6.0
DEEP,0.01,6,spectral,1.26611154432446,1.7529148629148628,-0.4868033185904028,5.0
DEEP,0.01,6,zorder,1.4784591578947368,1.7529148629148628,-0.27445570502012595,13.0
DEEP,0.01,7,birch,1.5065431809513103,1.6701839826839828,-0.16364080173267248,11.0
DEEP,0.01,7,distance_shell,1.3933766233766234,1.6701839826839828,-0.27680735930735945,7.0
DEEP,0.01,7,gmm,2.019927811349327,1.6701839826839828,0.34974382866534404,17.0
DEEP,0.01,7,hdbscan,1.3841648057498581,1.6701839826839828,-0.2860191769341247,6.0
DEEP,0.01,7,hilbert,2.6195415331254837,1.6701839826839828,0.9493575504415008,20.0
DEEP,0.01,7,hybrid,1.345868412639822,1.6701839826839828,-0.3243155700441609,4.0
DEEP,0.01,7,is_p50_clip,2.3885597257471893,1.6701839826839828,0.7183757430632065,19.0
DEEP,0.01,7,is_p50_noclip,3.1412756620947997,1.6701839826839828,1.4710916794108169,22.0
DEEP,0.01,7,kde_pilot,1.359554049779145,1.6701839826839828,-0.31062993290483787,5.0
DEEP,0.01,7,kdtree,1.5793303104280991,1.6701839826839828,-0.0908536722558837,14.0
DEEP,0.01,7,km20,1.4246199162660382,1.6701839826839828,-0.2455640664179446,8.0
DEEP,0.01,7,lsh,2.1994398474536796,1.6701839826839828,0.5292558647696968,18.0
DEEP,0.01,7,minibatch,1.6568392896768533,1.6701839826839828,-0.013344693007129482,16.0
DEEP,0.01,7,minibatch_partial,1.4877795072346605,1.6701839826839828,-0.18240447544932237,10.0
DEEP,0.01,7,pca1d,1.2689620584073196,1.6701839826839828,-0.40122192427666326,3.0
DEEP,0.01,7,pq,1.5245797728848074,1.6701839826839828,-0.14560420979917543,12.0
DEEP,0.01,7,random20,1.1251576414865627,1.6701839826839828,-0.5450263411974201,1.0
DEEP,0.01,7,random_proj,3.0136295481238795,1.6701839826839828,1.3434455654398967,21.0
DEEP,0.01,7,sobol,1.6527848686997824,1.6701839826839828,-0.017399113984200465,15.0
DEEP,0.01,7,sparse_rp,1.2332181088314007,1.6701839826839828,-0.4369658738525821,2.0
DEEP,0.01,7,spectral,1.571052821084774,1.6701839826839828,-0.09913116159920876,13.0
DEEP,0.01,7,zorder,1.4388405045992279,1.6701839826839828,-0.23134347808475497,9.0
DEEP,0.01,8,birch,2.004277952378276,1.6174603174603175,0.3868176349179584,18.0
DEEP,0.01,8,distance_shell,1.4494354744354745,1.6174603174603175,-0.168024843024843,9.0
DEEP,0.01,8,gmm,1.7789998826808873,1.6174603174603175,0.16153956522056978,16.0
DEEP,0.01,8,hdbscan,1.7541605615466316,1.6174603174603175,0.1367002440863141,14.0
DEEP,0.01,8,hilbert,1.9975657718746191,1.6174603174603175,0.38010545441430166,17.0
DEEP,0.01,8,hybrid,1.501461052631579,1.6174603174603175,-0.11599926482873846,10.0
DEEP,0.01,8,is_p50_clip,1.0193190305180948,1.6174603174603175,-0.5981412869422227,1.0
DEEP,0.01,8,is_p50_noclip,6.108168986306262,1.6174603174603175,4.490708668845944,22.0
DEEP,0.01,8,kde_pilot,1.1389321830467198,1.6174603174603175,-0.47852813441359765,2.0
DEEP,0.01,8,kdtree,1.5049619814929023,1.6174603174603175,-0.11249833596741521,11.0
DEEP,0.01,8,km20,2.2085974074879857,1.6174603174603175,0.5911370900276682,20.0
DEEP,0.01,8,lsh,1.5071424145587944,1.6174603174603175,-0.1103179029015231,12.0
